Pokédex,Nome,Tipo1,Tipo2,Altura,Peso,HP,Ataque,Defesa,Ataque Especial,Defesa Especial,Velocidade
1,bulbasaur,grass,poison,7,69,45,49,49,65,65,45
2,ivysaur,grass,poison,10,130,60,62,63,80,80,60
3,venusaur,grass,poison,20,1000,80,82,83,100,100,80
4,charmander,fire,,6,85,39,52,43,60,50,65
5,charmeleon,fire,,11,190,58,64,58,80,65,80
6,charizard,fire,flying,17,905,78,84,78,109,85,100
7,squirtle,water,,5,90,44,48,65,50,64,43
8,wartortle,water,,10,225,59,63,80,65,80,58
9,blastoise,water,,16,855,79,83,100,85,105,78
10,caterpie,bug,,3,29,45,30,35,20,20,45
11,metapod,bug,,7,99,50,20,55,25,25,30
12,butterfree,bug,flying,11,320,60,45,50,90,80,70
13,weedle,bug,poison,3,32,40,35,30,20,20,50
14,kakuna,bug,poison,6,100,45,25,50,25,25,35
15,beedrill,bug,poison,10,295,65,90,40,45,80,75
16,pidgey,normal,flying,3,18,40,45,40,35,35,56
17,pidgeotto,normal,flying,11,300,63,60,55,50,50,71
18,pidgeot,normal,flying,15,395,83,80,75,70,70,101
19,rattata,normal,,3,35,30,56,35,25,35,72
20,raticate,normal,,7,185,55,81,60,50,70,97
21,spearow,normal,flying,3,20,40,60,30,31,31,70
22,fearow,normal,flying,12,380,65,90,65,61,61,100
23,ekans,poison,,20,69,35,60,44,40,54,55
24,arbok,poison,,35,650,60,95,69,65,79,80
25,pikachu,electric,,4,60,35,55,40,50,50,90
26,raichu,electric,,8,300,60,90,55,90,80,110
27,sandshrew,ground,,6,120,50,75,85,20,30,40
28,sandslash,ground,,10,295,75,100,110,45,55,65
29,nidoran-f,poison,,4,70,55,47,52,40,40,41
30,nidorina,poison,,8,200,70,62,67,55,55,56
31,nidoqueen,poison,ground,13,600,90,92,87,75,85,76
32,nidoran-m,poison,,5,90,46,57,40,40,40,50
33,nidorino,poison,,9,195,61,72,57,55,55,65
34,nidoking,poison,ground,14,620,81,102,77,85,75,85
35,clefairy,fairy,,6,75,70,45,48,60,65,35
36,clefable,fairy,,13,400,95,70,73,95,90,60
37,vulpix,fire,,6,99,38,41,40,50,65,65
38,ninetales,fire,,11,199,73,76,75,81,100,100
39,jigglypuff,normal,fairy,5,55,115,45,20,45,25,20
40,wigglytuff,normal,fairy,10,120,140,70,45,85,50,45
41,zubat,poison,flying,8,75,40,45,35,30,40,55
42,golbat,poison,flying,16,550,75,80,70,65,75,90
43,oddish,grass,poison,5,54,45,50,55,75,65,30
44,gloom,grass,poison,8,86,60,65,70,85,75,40
45,vileplume,grass,poison,12,186,75,80,85,110,90,50
46,paras,bug,grass,3,54,35,70,55,45,55,25
47,parasect,bug,grass,10,295,60,95,80,60,80,30
48,venonat,bug,poison,10,300,60,55,50,40,55,45
49,venomoth,bug,poison,15,125,70,65,60,90,75,90
50,diglett,ground,,2,8,10,55,25,35,45,95
51,dugtrio,ground,,7,333,35,100,50,50,70,120
52,meowth,normal,,4,42,40,45,35,40,40,90
53,persian,normal,,10,320,65,70,60,65,65,115
54,psyduck,water,,8,196,50,52,48,65,50,55
55,golduck,water,,17,766,80,82,78,95,80,85
56,mankey,fighting,,5,280,40,80,35,35,45,70
57,primeape,fighting,,10,320,65,105,60,60,70,95
58,growlithe,fire,,7,190,55,70,45,70,50,60
59,arcanine,fire,,19,1550,90,110,80,100,80,95
60,poliwag,water,,6,124,40,50,40,40,40,90
61,poliwhirl,water,,10,200,65,65,65,50,50,90
62,poliwrath,water,fighting,13,540,90,95,95,70,90,70
63,abra,psychic,,9,195,25,20,15,105,55,90
64,kadabra,psychic,,13,565,40,35,30,120,70,105
65,alakazam,psychic,,15,480,55,50,45,135,95,120
66,machop,fighting,,8,195,70,80,50,35,35,35
67,machoke,fighting,,15,705,80,100,70,50,60,45
68,machamp,fighting,,16,1300,90,130,80,65,85,55
69,bellsprout,grass,poison,7,40,50,75,35,70,30,40
70,weepinbell,grass,poison,10,64,65,90,50,85,45,55
71,victreebel,grass,poison,17,155,80,105,65,100,70,70
72,tentacool,water,poison,9,455,40,40,35,50,100,70
73,tentacruel,water,poison,16,550,80,70,65,80,120,100
74,geodude,rock,ground,4,200,40,80,100,30,30,20
75,graveler,rock,ground,10,1050,55,95,115,45,45,35
76,golem,rock,ground,14,3000,80,120,130,55,65,45
77,ponyta,fire,,10,300,50,85,55,65,65,90
78,rapidash,fire,,17,950,65,100,70,80,80,105
79,slowpoke,water,psychic,12,360,90,65,65,40,40,15
80,slowbro,water,psychic,16,785,95,75,110,100,80,30
81,magnemite,electric,steel,3,60,25,35,70,95,55,45
82,magneton,electric,steel,10,600,50,60,95,120,70,70
83,farfetchd,normal,flying,8,150,52,90,55,58,62,60
84,doduo,normal,flying,14,392,35,85,45,35,35,75
85,dodrio,normal,flying,18,852,60,110,70,60,60,110
86,seel,water,,11,900,65,45,55,45,70,45
87,dewgong,water,ice,17,1200,90,70,80,70,95,70
88,grimer,poison,,9,300,80,80,50,40,50,25
89,muk,poison,,12,300,105,105,75,65,100,50
90,shellder,water,,3,40,30,65,100,45,25,40
91,cloyster,water,ice,15,1325,50,95,180,85,45,70
92,gastly,ghost,poison,13,1,30,35,30,100,35,80
93,haunter,ghost,poison,16,1,45,50,45,115,55,95
94,gengar,ghost,poison,15,405,60,65,60,130,75,110
95,onix,rock,ground,88,2100,35,45,160,30,45,70
96,drowzee,psychic,,10,324,60,48,45,43,90,42
97,hypno,psychic,,16,756,85,73,70,73,115,67
98,krabby,water,,4,65,30,105,90,25,25,50
99,kingler,water,,13,600,55,130,115,50,50,75
100,voltorb,electric,,5,104,40,30,50,55,55,100
101,electrode,electric,,12,666,60,50,70,80,80,150
102,exeggcute,grass,psychic,4,25,60,40,80,60,45,40
103,exeggutor,grass,psychic,20,1200,95,95,85,125,75,55
104,cubone,ground,,4,65,50,50,95,40,50,35
105,marowak,ground,,10,450,60,80,110,50,80,45
106,hitmonlee,fighting,,15,498,50,120,53,35,110,87
107,hitmonchan,fighting,,14,502,50,105,79,35,110,76
108,lickitung,normal,,12,655,90,55,75,60,75,30
109,koffing,poison,,6,10,40,65,95,60,45,35
110,weezing,poison,,12,95,65,90,120,85,70,60
111,rhyhorn,ground,rock,10,1150,80,85,95,30,30,25
112,rhydon,ground,rock,19,1200,105,130,120,45,45,40
113,chansey,normal,,11,346,250,5,5,35,105,50
114,tangela,grass,,10,350,65,55,115,100,40,60
115,kangaskhan,normal,,22,800,105,95,80,40,80,90
116,horsea,water,,4,80,30,40,70,70,25,60
117,seadra,water,,12,250,55,65,95,95,45,85
118,goldeen,water,,6,150,45,67,60,35,50,63
119,seaking,water,,13,390,80,92,65,65,80,68
120,staryu,water,,8,345,30,45,55,70,55,85
121,starmie,water,psychic,11,800,60,75,85,100,85,115
122,mr-mime,psychic,fairy,13,545,40,45,65,100,120,90
123,scyther,bug,flying,15,560,70,110,80,55,80,105
124,jynx,ice,psychic,14,406,65,50,35,115,95,95
125,electabuzz,electric,,11,300,65,83,57,95,85,105
126,magmar,fire,,13,445,65,95,57,100,85,93
127,pinsir,bug,,15,550,65,125,100,55,70,85
128,tauros,normal,,14,884,75,100,95,40,70,110
129,magikarp,water,,9,100,20,10,55,15,20,80
130,gyarados,water,flying,65,2350,95,125,79,60,100,81
131,lapras,water,ice,25,2200,130,85,80,85,95,60
132,ditto,normal,,3,40,48,48,48,48,48,48
